email_text,category
"hello, urgent: you have been selected to receive $1000 cash prize. claim before it expires! cheers.",spam
urgent: you have been selected to receive $500 cash prize. claim before it expires! talk soon.,spam
"fyi - you've been invited to lena's event, tap to rsvp. cheers.",social
"flash sale: 50% off everything at globex store, this weekend only. best regards.",promotional
"hey john, final notice: claim your unclaimed prize of $10,000 now or lose it forever! cheers.",spam
"hello, free gift card waiting for you! just click and confirm your shipping address to claim.",spam
quick note: i've attached the presentation deck for your review. let's discuss it in tomorrow's sync. thanks!,work
quick note: team standup is at 3 pm today. please share your updates in the channel.,work
fyi - following up on the mobile app status — are we still on track for next week? cheers.,work
"hi ahmed, hey, i found that recipe you were asking about, sending it over now. let me know.",personal
"you have 5 new notifications waiting for you, tap to view.",social
"hello, you've been chosen for an exclusive $750 reward. click the link below before midnight! thanks!",spam
reminder: the mobile app deadline is thursday. let me know if you need an extension. best regards.,work
fyi - exclusive member discount: 70% off your next purchase at wonka industries. cheers.,promotional
"fyi - your payment for globex could not be processed, please update your billing info.",important
"hello, alert: your account has won a special bonus of $5,000. verify your details to claim now. cheers.",spam
"hey sara, reminder: the neighborhood cleanup event is this tuesday morning. talk soon.",social
"quick note: sara commented on your recent post, come see what they said! talk soon.",social
"hey sam, thanks for helping me move last weekend, i really appreciate it! let me know.",personal
fyi - can you send me the latest version of the quarterly report by end of day?,work
"hello, action required: your password will expire in 24 hours, please reset it now.",important
"hello, team standup is at 2 pm today. please share your updates in the channel. talk soon.",work
fyi - new arrivals just landed! check out our latest fall collection now. cheers.,promotional
"hi chen, reminder: the neighborhood cleanup event is this next week morning. talk soon.",social
"hello, let's schedule a call to align on the mobile app roadmap this tuesday. let me know.",work
fyi - reminder: your annual review with hr is scheduled for tuesday at 11:15 am. let me know.,important
"hi sara, join the local book club meeting this thursday evening at the library. cheers.",social
"hello, please find attached the meeting notes for the mobile app project, feedback welcome. best regards.",work
fyi - congratulations! you have won a $750 gift card. click this link to claim your reward now! thanks!,spam
"hey ahmed, please review the budget spreadsheet before our meeting on tuesday. let me know.",work
"hi maria, hot singles in your area want to chat with you now, click to view profiles!",spam
"hi priya, we detected unusual sign-in activity on your account, please confirm it was you. talk soon.",important
"hi omar, it was great catching up yesterday, let's do it again soon! let me know.",personal
"hey fatima, jordan tagged you in a photo, check it out now. thanks!",social
"final reminder: your tax documents are due by wednesday, please submit them soon. thanks!",important
"hi grace, reminder: the neighborhood cleanup event is this thursday morning. let me know.",social
"can't wait for the weekend hike, what time should we meet up? thanks!",personal
"quick note: act now! you qualify for a free smartwatch. no purchase necessary, click here immediately. cheers.",spam
"hey priya, grace tagged you in a photo, check it out now.",social
"hi sara, you've been chosen for an exclusive $1000 reward. click the link below before midnight! thanks!",spam
"hello, urgent: you have been selected to receive $250 cash prize. claim before it expires! talk soon.",spam
"hi chen, thanks for helping me move last weekend, i really appreciate it! talk soon.",personal
"hello, your flight on thursday has been rescheduled, please review the new itinerary. talk soon.",important
quick note: new arrivals just landed! check out our latest fall collection now. cheers.,promotional
"hi john, alert: your account has won a special bonus of $750. verify your details to claim now. cheers.",spam
you have a new friend request on nakatomi trading social. thanks!,social
"hi fatima, i've attached the quarterly report for your review. let's discuss it in tomorrow's sync. best regards.",work
"hello, hot singles in your area want to chat with you now, click to view profiles! thanks!",spam
"quick note: you've been invited to sam's event, tap to rsvp. let me know.",social
"hello, we detected unusual sign-in activity on your account, please confirm it was you. best regards.",important
"hello, umbrella inc rewards: you've earned points! redeem them for 70% off today. cheers.",promotional
"hello, please review the budget spreadsheet before our meeting on next week. let me know.",work
"fyi - please find attached the project plan for the onboarding flow project, feedback welcome. let me know.",work
let's schedule a call to align on the q3 launch roadmap this friday. let me know.,work
join the local book club meeting this tuesday evening at the library. talk soon.,social
"hello, important: changes to your health insurance plan take effect on tuesday. best regards.",important
"hello, please find attached the budget spreadsheet for the website redesign project, feedback welcome. cheers.",work
"hi lena, it was great catching up yesterday, let's do it again soon! cheers.",personal
"hello, you won! enter your bank details to receive your $500 winnings instantly. best regards.",spam
reminder: the neighborhood cleanup event is this monday morning. cheers.,social
quick note: your account requires immediate verification due to a security issue. let me know.,important
"quick note: hi john, it was great catching up yesterday, let's do it again soon! let me know.",personal
weekly digest: see what your friends have been up to this week.,social
"final reminder: your tax documents are due by friday, please submit them soon. talk soon.",important
let's schedule a call to align on the migration roadmap this tuesday. cheers.,work
"hey ahmed, flash sale: 10% off everything at stark industries store, this weekend only.",promotional
quick note: can you send me the latest version of the quarterly report by end of day? thanks!,work
"hi grace, join the local book club meeting this wednesday evening at the library. best regards.",social
fyi - reminder: the neighborhood cleanup event is this friday morning.,social
let's schedule a call to align on the q3 launch roadmap this monday. cheers.,work
quick note: important: changes to your health insurance plan take effect on friday. thanks!,important
"hi sam, action required: your password will expire in 24 hours, please reset it now. thanks!",important
"hey fatima, the meeting has been moved to 4:30 pm tomorrow. please update your calendar. thanks!",work
fyi - weekly digest: see what your friends have been up to this week. cheers.,social
exclusive member discount: 40% off your next purchase at wonka industries. best regards.,promotional
"hi taylor, weekly digest: see what your friends have been up to this week. talk soon.",social
"hey sara, you've been invited to sam's event, tap to rsvp. let me know.",social
"you've been invited to ahmed's event, tap to rsvp. cheers.",social
quick note: your favorite items are back in stock at globex. free shipping on orders over $50. let me know.,promotional
"hey jordan, important: changes to your health insurance plan take effect on next week. cheers.",important
"hi taylor, action required: your password will expire in 24 hours, please reset it now.",important
"hey omar, important: changes to your health insurance plan take effect on monday. let me know.",important
"hello, reminder: the neighborhood cleanup event is this friday morning. thanks!",social
quick note: can you believe the game last night? let's watch the next one together. cheers.,personal
quick note: your group 'q3 launch fans' has 3 new posts today. best regards.,social
"hey sam, thanks for shopping with hooli! here's a 30% coupon for your next order. cheers.",promotional
"hello, you won! enter your bank details to receive your $500 winnings instantly. thanks!",spam
"fyi - act now! you qualify for a free laptop. no purchase necessary, click here immediately.",spam
"quick note: thanks for helping me move last weekend, i really appreciate it! thanks!",personal
"hello, you are our lucky winner! claim your free laptop today, limited time only! best regards.",spam
new arrivals just landed! check out our latest winter collection now. cheers.,promotional
"hi sam, urgent: you have been selected to receive $500 cash prize. claim before it expires! thanks!",spam
"fyi - your flight on thursday has been rescheduled, please review the new itinerary. talk soon.",important
"hi chen, hope you're feeling better! let me know if you need anything.",personal
"hello, the meeting has been moved to 3 pm tomorrow. please update your calendar. cheers.",work
quick note: reminder: your annual review with hr is scheduled for next week at 9 am.,important
"hey sara, are you free to grab coffee this week? it's been too long since we caught up. cheers.",personal
"hey sara, you have 5 new notifications waiting for you, tap to view. talk soon.",social
"hey omar, thanks for shopping with globex! here's a 40% coupon for your next order. talk soon.",promotional
"fyi - we detected unusual sign-in activity on your account, please confirm it was you. thanks!",important
"fyi - action required: your password will expire in 24 hours, please reset it now. cheers.",important
fyi - hope you're feeling better! let me know if you need anything.,personal
fyi - your account requires immediate verification due to a security issue. let me know.,important
exclusive member discount: 10% off your next purchase at acme corp. cheers.,promotional
fyi - please review the budget spreadsheet before our meeting on next week.,work
"hi taylor, hi lena, it was great catching up yesterday, let's do it again soon! talk soon.",personal
"hi sam, let's schedule a call to align on the onboarding flow roadmap this thursday. cheers.",work
"quick note: just booked the trip for next month, so excited to see you! let me know.",personal
"hi john, fatima tagged you in a photo, check it out now. cheers.",social
"you are our lucky winner! claim your free laptop today, limited time only! let me know.",spam
"hey omar, your favorite items are back in stock at initech. free shipping on orders over $50.",promotional
"hey sam, hi omar, it was great catching up yesterday, let's do it again soon! let me know.",personal
"hey ahmed, urgent: you have been selected to receive $1000 cash prize. claim before it expires! best regards.",spam
"hey grace, are you free to grab coffee this week? it's been too long since we caught up.",personal
"fyi - urgent: you have been selected to receive $5,000 cash prize. claim before it expires! cheers.",spam
"hello, team standup is at 2 pm today. please share your updates in the channel.",work
"hey taylor, join the local book club meeting this thursday evening at the library. talk soon.",social
"hi taylor, your account requires immediate verification due to a security issue. thanks!",important
"hey chen, last chance: our winter sale ends tonight. save 70% before midnight.",promotional
"hi john, we detected unusual sign-in activity on your account, please confirm it was you.",important
"hello, you've been chosen for an exclusive $5,000 reward. click the link below before midnight! talk soon.",spam
"hi john, you've been invited to omar's event, tap to rsvp. thanks!",social
"you are our lucky winner! claim your free gift card today, limited time only! let me know.",spam
"hello, hey, i found that recipe you were asking about, sending it over now. talk soon.",personal
"fyi - just booked the trip for next month, so excited to see you! thanks!",personal
"fyi - please find attached the budget spreadsheet for the website redesign project, feedback welcome.",work
free laptop waiting for you! just click and confirm your shipping address to claim.,spam
alert: your account has won a special bonus of $1000. verify your details to claim now. talk soon.,spam
fyi - your favorite items are back in stock at umbrella inc. free shipping on orders over $50. thanks!,promotional
"fyi - you have 5 new notifications waiting for you, tap to view. let me know.",social
quick note: reminder: the q3 launch deadline is monday. let me know if you need an extension. let me know.,work
"fyi - flash sale: 40% off everything at umbrella inc store, this weekend only. cheers.",promotional
"quick note: happy birthday! hope you have an amazing day, let's celebrate this weekend. best regards.",personal
"hello, notice: scheduled maintenance will affect your account access on next week. thanks!",important
fyi - can you send me the latest version of the presentation deck by end of day? thanks!,work
"hi john, important: changes to your health insurance plan take effect on next week. talk soon.",important
"urgent: you have been selected to receive $10,000 cash prize. claim before it expires! thanks!",spam
fyi - following up on the migration status — are we still on track for monday? let me know.,work
fyi - can you send me the latest version of the budget spreadsheet by end of day? best regards.,work
"hi chen, new arrivals just landed! check out our latest back-to-school collection now. best regards.",promotional
quick note: hope you're feeling better! let me know if you need anything. best regards.,personal
"hello, please find attached the quarterly report for the q3 launch project, feedback welcome. best regards.",work
"hey noah, reminder: your annual review with hr is scheduled for next week at 3 pm. thanks!",important
alert: your account has won a special bonus of $1000. verify your details to claim now. best regards.,spam
"hello, please find attached the project plan for the migration project, feedback welcome.",work
your group 'onboarding flow fans' has 3 new posts today. best regards.,social
"hi alex, the meeting has been moved to 11:15 am tomorrow. please update your calendar. best regards.",work
"hello, new newsletter from initech: top picks and deals just for you this week.",promotional
"quick note: your flight on thursday has been rescheduled, please review the new itinerary.",important
"hi john, your flight on tuesday has been rescheduled, please review the new itinerary.",important
"hi sara, just booked the trip for next month, so excited to see you! best regards.",personal
"quick note: thanks for helping me move last weekend, i really appreciate it! best regards.",personal
"hi priya, your flight on tuesday has been rescheduled, please review the new itinerary. thanks!",important
"hello, your flight on tuesday has been rescheduled, please review the new itinerary.",important
exclusive member discount: 10% off your next purchase at initech. thanks!,promotional
"hi omar, new arrivals just landed! check out our latest holiday collection now. talk soon.",promotional
"hello, just booked the trip for next month, so excited to see you! best regards.",personal
"hey ahmed, reminder: the neighborhood cleanup event is this next week morning. best regards.",social
"hi sam, thanks for helping me move last weekend, i really appreciate it! best regards.",personal
"hey grace, reminder: the mobile app deadline is wednesday. let me know if you need an extension. thanks!",work
"hey ahmed, following up on the migration status — are we still on track for friday? cheers.",work
"hey sam, happy birthday! hope you have an amazing day, let's celebrate this weekend. thanks!",personal
"hi alex, you've been invited to taylor's event, tap to rsvp. talk soon.",social
fyi - the client requested changes to the onboarding flow proposal. can we talk today? talk soon.,work
"hi ahmed, you've been chosen for an exclusive $5,000 reward. click the link below before midnight! thanks!",spam
"hey omar, don't miss our winter clearance sale — up to 20% off select items. best regards.",promotional
fyi - free smartwatch waiting for you! just click and confirm your shipping address to claim. thanks!,spam
"hello, happy birthday! hope you have an amazing day, let's celebrate this weekend. let me know.",personal
"hi priya, hot singles in your area want to chat with you now, click to view profiles!",spam
"hi jordan, please find attached the project plan for the q3 launch project, feedback welcome. thanks!",work
"hello, urgent: you have been selected to receive $10,000 cash prize. claim before it expires! let me know.",spam
"hello, new arrivals just landed! check out our latest back-to-school collection now. talk soon.",promotional
new newsletter from stark industries: top picks and deals just for you this week. thanks!,promotional
"hello, your flight on monday has been rescheduled, please review the new itinerary. let me know.",important
"hello, your payment for umbrella inc could not be processed, please update your billing info. best regards.",important
"hi fatima, we detected unusual sign-in activity on your account, please confirm it was you. best regards.",important
reminder: the neighborhood cleanup event is this next week morning. best regards.,social
"hello, important: changes to your health insurance plan take effect on monday.",important
"fyi - just booked the trip for next month, so excited to see you! best regards.",personal
can you believe the game last night? let's watch the next one together. talk soon.,personal
thanks for shopping with globex! here's a 30% coupon for your next order. let me know.,promotional
"hey taylor, thanks for helping me move last weekend, i really appreciate it! talk soon.",personal
"hey jordan, can you believe the game last night? let's watch the next one together. talk soon.",personal
quick note: are you free to grab coffee this week? it's been too long since we caught up. cheers.,personal
"hi sam, weekly digest: see what your friends have been up to this week. cheers.",social
"hey chen, final notice: claim your unclaimed prize of $1000 now or lose it forever! thanks!",spam
quick note: reminder: the neighborhood cleanup event is this wednesday morning.,social
"hi sam, thanks for shopping with wonka industries! here's a 20% coupon for your next order. cheers.",promotional
fyi - weekly digest: see what your friends have been up to this week. best regards.,social
"hey maria, flash sale: 50% off everything at stark industries store, this weekend only. best regards.",promotional
"hello, you won! enter your bank details to receive your $10,000 winnings instantly. thanks!",spam
"hi chen, you've been invited to noah's event, tap to rsvp. talk soon.",social
"fyi - your flight on tuesday has been rescheduled, please review the new itinerary. thanks!",important
"hey fatima, hot singles in your area want to chat with you now, click to view profiles! talk soon.",spam
"hello, final notice: claim your unclaimed prize of $5,000 now or lose it forever!",spam
"fyi - lena commented on your recent post, come see what they said!",social
"hey fatima, i've attached the meeting notes for your review. let's discuss it in tomorrow's sync. cheers.",work
quick note: free smartwatch waiting for you! just click and confirm your shipping address to claim. let me know.,spam
"hello, alex tagged you in a photo, check it out now. best regards.",social
"hey, i found that recipe you were asking about, sending it over now. let me know.",personal
"quick note: thanks for helping me move last weekend, i really appreciate it!",personal
"fyi - noah commented on your recent post, come see what they said!",social
"hello, let's schedule a call to align on the website redesign roadmap this tuesday. let me know.",work
"hey grace, exclusive member discount: 20% off your next purchase at stark industries. let me know.",promotional
"hey omar, can you send me the latest version of the meeting notes by end of day? let me know.",work
"hi lena, important: changes to your health insurance plan take effect on friday.",important
quick note: weekly digest: see what your friends have been up to this week. talk soon.,social
"fyi - hey, are we still on for dinner this weekend? talk soon.",personal
"we detected unusual sign-in activity on your account, please confirm it was you. thanks!",important
"jordan tagged you in a photo, check it out now. best regards.",social
"hello, notice: scheduled maintenance will affect your account access on monday. let me know.",important
"quick note: urgent: you have been selected to receive $10,000 cash prize. claim before it expires! let me know.",spam
quick note: your group 'q3 launch fans' has 3 new posts today. talk soon.,social
"hello, reminder: the neighborhood cleanup event is this wednesday morning. let me know.",social
"hey, are we still on for dinner this weekend?",personal
quick note: the meeting has been moved to 2 pm tomorrow. please update your calendar. talk soon.,work
quick note: urgent: you have been selected to receive $1000 cash prize. claim before it expires! thanks!,spam
hope you're feeling better! let me know if you need anything. cheers.,personal
can you send me the latest version of the meeting notes by end of day?,work
"hi noah, following up on the mobile app status — are we still on track for next week? thanks!",work
hope you're feeling better! let me know if you need anything. talk soon.,personal
"hi lena, umbrella inc rewards: you've earned points! redeem them for 10% off today. best regards.",promotional
"john tagged you in a photo, check it out now. talk soon.",social
fyi - the client requested changes to the mobile app proposal. can we talk today?,work
"hey chen, the client requested changes to the q3 launch proposal. can we talk today? best regards.",work
"hey priya, don't miss our holiday clearance sale — up to 50% off select items. talk soon.",promotional
"can't wait for the weekend hike, what time should we meet up?",personal
"hey taylor, please find attached the presentation deck for the migration project, feedback welcome. let me know.",work
fyi - congratulations! you have won a $500 gift card. click this link to claim your reward now! talk soon.,spam
"hello, you have 5 new notifications waiting for you, tap to view. thanks!",social
"hi grace, act now! you qualify for a free vacation package. no purchase necessary, click here immediately. talk soon.",spam
quick note: reminder: your annual review with hr is scheduled for friday at 9 am. best regards.,important
"fyi - ahmed tagged you in a photo, check it out now. best regards.",social
"hello, new newsletter from umbrella inc: top picks and deals just for you this week. best regards.",promotional
